run_id,strategy,seed,stall_width_m,aisle_width_m,ped_density_per_m,suv_probability,suv_present,pedestrian_count,pedestrian_speed_mps,total_cycle_time_s,reaction_time_s,gear_shifts,los_blocked,creep_activated,max_blind_exit_speed_mps,min_pedestrian_distance_m,proximity_warning,required_braking_mps2,critical_conflict,collision
6220,forward,42,2.7,5.6467,0.17876,0.14678,True,2,1.6973,16.9591,0.6858,1,True,True,0.5,1.777,True,0.8103,False,False
6221,reverse,42,2.7,6.0899,0.13007,0.18168,True,4,1.7806,18.1197,0.6241,2,False,False,1.2,1.9167,False,0.0145,False,False
6222,forward,42,2.7,6.9046,0.1293,0.1233,False,2,1.7603,15.7485,0.6931,1,False,False,1.2,2.0692,False,1.3646,False,False
6223,reverse,42,2.7,5.7703,0.29633,0.40231,False,5,1.3342,17.7893,0.5297,2,False,False,1.2,1.7286,True,0.8043,False,False
6224,forward,42,2.7,6.1907,0.14704,0.4628,True,0,,17.2694,0.6578,1,True,True,0.5,,True,0.0435,False,False
6225,reverse,42,2.7,6.8069,0.27183,0.14402,False,2,1.2651,18.822,0.7971,2,False,False,1.2,2.4986,False,1.2985,False,False
6226,forward,42,2.7,7.1929,0.0758,0.20367,False,0,,16.1505,0.9159,1,False,False,1.2,,False,0.9575,False,False
6227,reverse,42,2.7,5.897,0.16129,0.3684,True,3,0.9913,18.4135,1.0603,2,False,False,1.2,1.9228,True,1.0916,False,False
6228,forward,42,2.7,6.5834,0.13738,0.14656,False,1,1.6442,15.5391,0.6834,1,False,False,1.2,2.9821,False,0.2924,False,False
6229,reverse,42,2.7,6.2528,0.23355,0.41008,True,4,1.3928,18.5055,0.8897,2,False,False,1.2,2.1948,False,0.889,False,False
6230,forward,42,2.7,5.9509,0.27051,0.23673,False,2,1.4261,15.0371,0.5746,1,False,False,1.2,2.1581,False,2.1315,False,False
6231,reverse,42,2.7,6.3708,0.2393,0.62703,True,3,1.4138,18.4043,0.7014,2,False,False,1.2,1.477,False,2.9834,False,False
6232,forward,42,2.7,6.5009,0.09015,0.47323,False,0,,15.4204,0.616,1,False,False,1.2,,False,0.5054,False,False
6233,reverse,42,2.7,6.5685,0.14949,0.4188,False,0,,18.4528,0.6039,2,False,False,1.2,,True,1.1182,False,False
6234,forward,42,2.7,6.3121,0.15095,0.18851,True,2,1.1184,17.476,0.789,1,True,True,0.5,1.4445,False,0.6166,False,False
6235,reverse,42,2.7,6.0346,0.29853,0.46115,False,2,1.4547,18.3426,0.8879,2,False,False,1.2,1.8832,False,0.1017,False,False
6236,forward,42,2.7,6.8964,0.16418,0.08197,False,1,1.2375,15.8796,0.8294,1,False,False,1.2,2.9056,False,4.8273,True,False
6237,reverse,42,2.7,6.9064,0.10149,0.35462,False,0,,18.8041,0.7057,2,False,False,1.2,,False,0.9758,False,False
6238,forward,42,2.7,5.6157,0.29582,0.09083,False,4,1.6108,15.0796,0.8254,1,False,False,1.2,1.413,True,1.6644,False,False
6239,reverse,42,2.7,6.3342,0.09098,0.32542,True,1,1.499,18.4162,0.7404,2,False,False,1.2,2.1825,False,0.2356,False,False
6240,forward,42,2.7,6.9485,0.05677,0.52642,False,0,,15.8544,0.7717,1,False,False,1.2,,False,2.7911,False,False
6241,reverse,42,2.7,5.9555,0.21674,0.0541,False,0,,18.218,0.8217,2,False,False,1.2,,True,2.3172,False,False
6242,forward,42,2.7,6.7606,0.06136,0.06533,False,0,,15.7059,0.7401,1,False,False,1.2,,False,1.1538,False,False
6243,reverse,42,2.7,7.1919,0.22164,0.45493,True,3,1.656,18.9628,0.6537,2,False,False,1.2,2.0983,False,4.4911,True,False
6244,forward,42,2.7,5.6152,0.11439,0.64293,True,0,,17.05,0.7962,1,True,True,0.5,,False,0.1771,False,False
6245,reverse,42,2.7,6.3652,0.05627,0.39844,False,0,,18.2035,0.5047,2,False,False,1.2,,False,1.1222,False,False
6246,forward,42,2.7,6.5944,0.14076,0.21538,True,1,1.3539,17.8353,0.9728,1,True,True,0.5,1.1006,False,2.2331,False,False
6247,reverse,42,2.7,5.7928,0.20613,0.08646,False,1,1.3361,17.8563,0.58,2,False,False,1.2,2.5958,True,2.5907,False,False
6248,forward,42,2.7,5.7237,0.2655,0.38703,False,1,1.4725,14.8184,0.4972,1,False,False,1.2,1.7843,True,3.7518,True,False
6249,reverse,42,2.7,6.3895,0.15942,0.02037,False,1,1.0959,18.5265,0.8098,2,False,False,1.2,1.6128,False,1.4877,False,False
6250,forward,42,2.7,6.7459,0.1376,0.46574,False,1,1.5984,15.9872,1.0305,1,False,False,1.2,2.532,False,1.6498,False,False
6251,reverse,42,2.7,6.3731,0.29933,0.31151,False,3,1.4171,18.5338,0.8292,2,False,False,1.2,1.9474,True,0.9634,False,False
6252,forward,42,2.7,6.3798,0.15497,0.1055,False,2,1.4765,15.4356,0.7065,1,False,False,1.2,3.0518,False,2.4943,False,False
6253,reverse,42,2.7,6.873,0.16445,0.04418,False,1,1.1085,18.992,0.9184,2,False,False,1.2,1.5391,False,1.5913,False,False
6254,forward,42,2.7,5.7835,0.27349,0.01432,False,0,,14.8479,0.4895,1,False,False,1.2,,True,3.4809,True,False
6255,reverse,42,2.7,5.7196,0.22086,0.11724,False,0,,17.9055,0.6833,2,False,False,1.2,,False,1.344,False,False
6256,forward,42,2.7,6.6593,0.09307,0.37807,True,1,1.1345,17.585,0.6822,1,True,True,0.5,0.3898,False,2.3269,False,False
6257,reverse,42,2.7,5.8443,0.2024,0.11939,False,0,,18.1641,0.8498,2,False,False,1.2,,False,1.496,False,False
6258,forward,42,2.7,6.3738,0.07587,0.49874,True,3,1.6629,17.3416,0.6162,1,True,True,0.5,1.4316,True,2.0492,False,False
6259,reverse,42,2.7,5.7442,0.12624,0.11055,True,1,1.4974,18.0877,0.8474,2,False,False,1.2,2.2606,False,5.4647,True,False
6260,forward,42,2.7,6.3926,0.21107,0.06518,False,2,1.1029,15.0855,0.3484,1,False,False,1.2,2.6084,False,0.1319,False,False
6261,reverse,42,2.7,5.8256,0.09411,0.75155,True,2,1.661,17.9098,0.6093,2,False,False,1.2,1.7461,True,1.5872,False,False
6262,forward,42,2.7,5.5772,0.2268,0.61287,True,0,,17.043,0.8128,1,True,True,0.5,,False,1.095,False,False
6263,reverse,42,2.7,6.5934,0.16152,0.60219,True,2,1.3511,18.6034,0.7362,2,False,False,1.2,3.0555,False,0.5128,False,False
6264,forward,42,2.7,6.9032,0.11434,0.10498,False,5,1.7594,15.7891,0.7346,1,False,False,1.2,2.1545,False,2.5026,False,False
6265,reverse,42,2.7,5.7977,0.13581,0.54632,True,0,,17.9406,0.6607,2,False,False,1.2,,True,2.1649,False,False
6266,forward,42,2.7,6.3358,0.17878,0.64466,False,2,1.3833,15.5574,0.8556,1,False,False,1.2,1.9926,False,2.6275,False,False
6267,reverse,42,2.7,7.0104,0.2975,0.32013,True,2,1.0678,19.0903,0.9153,2,False,False,1.2,1.8718,False,4.3397,True,False
6268,forward,42,2.7,7.1234,0.23667,0.30547,False,2,1.8116,15.731,0.5397,1,False,False,1.2,1.8955,True,0.4086,False,False
6269,reverse,42,2.7,6.0392,0.26012,0.18103,False,1,0.9639,18.2281,0.7699,2,False,False,1.2,1.2365,True,1.9817,False,False
6270,forward,42,2.7,5.5634,0.11166,0.57869,False,2,1.6012,15.027,0.8054,1,False,False,1.2,1.9858,False,1.0165,False,False
6271,reverse,42,2.7,6.2794,0.24052,0.76156,True,2,1.1005,18.3716,0.7361,2,False,False,1.2,0.7019,False,2.114,False,False
6272,forward,42,2.7,6.2844,0.208,0.1238,False,2,1.5569,15.605,0.9352,1,False,False,1.2,2.1159,True,0.0859,False,False
6273,reverse,42,2.7,5.6969,0.16247,0.19636,False,0,,17.8218,0.6164,2,False,False,1.2,,False,1.7144,False,False
6274,forward,42,2.7,5.6341,0.26277,0.55465,False,0,,14.8138,0.5482,1,False,False,1.2,,False,0.3084,False,False
6275,reverse,42,2.7,6.066,0.14786,0.3677,True,0,,18.2988,0.8209,2,False,False,1.2,,False,2.7632,False,False
6276,forward,42,2.7,5.6902,0.27248,0.36264,True,1,1.4868,16.7935,0.493,1,True,True,0.5,1.0236,True,1.7003,False,False
6277,reverse,42,2.7,6.7057,0.2873,0.56079,True,4,1.3771,18.8521,0.902,2,False,False,1.2,0.4397,False,2.3363,False,False
6278,forward,42,2.7,7.1731,0.1939,0.10844,False,2,1.4377,16.0964,0.8742,1,False,False,1.2,2.6965,False,0.4304,False,False
6279,reverse,42,2.7,7.1551,0.24485,0.56549,False,0,,18.9296,0.6477,2,False,False,1.2,,True,1.1711,False,False
6280,forward,42,2.7,6.8752,0.20426,0.1553,False,0,,16.1166,1.0795,1,False,False,1.2,,False,3.7085,True,False
6281,reverse,42,2.7,5.8236,0.14229,0.16464,False,0,,17.9261,0.6271,2,False,False,1.2,,True,2.2356,False,False
6282,forward,42,2.7,6.7506,0.07733,0.74536,True,1,1.4395,17.5222,0.5625,1,True,True,0.5,0.0,False,2.6636,False,False
6283,reverse,42,2.7,7.0446,0.18636,0.61692,True,3,1.3631,19.0109,0.8106,2,False,False,1.2,2.4099,False,2.712,False,False
6284,forward,42,2.7,6.4916,0.26869,0.38478,True,2,1.4935,17.3389,0.5402,1,True,True,0.5,1.5632,True,2.6815,False,False
6285,reverse,42,2.7,6.9862,0.07354,0.03119,False,0,,18.782,0.6248,2,False,False,1.2,,False,0.492,False,False
6286,forward,42,2.7,6.2291,0.165,0.33179,True,0,,17.3947,0.7593,1,True,True,0.5,,False,2.8153,False,False
6287,reverse,42,2.7,6.1588,0.06685,0.45714,True,0,,18.35,0.8036,2,False,False,1.2,,False,0.6691,False,False
6288,forward,42,2.7,5.5664,0.21226,0.55881,False,3,1.389,15.0275,0.804,1,False,False,1.2,1.8424,False,2.8125,False,False
6289,reverse,42,2.7,5.6798,0.11568,0.13318,False,0,,17.9253,0.7324,2,False,False,1.2,,False,1.3238,False,False
6290,forward,42,2.7,6.0682,0.16484,0.01179,False,1,1.2186,15.2903,0.7548,1,False,False,1.2,1.6949,True,0.2369,False,False
6291,reverse,42,2.7,5.5281,0.09034,0.58538,False,1,1.7722,17.7288,0.648,2,False,False,1.2,0.956,False,2.6935,False,False
6292,forward,42,2.7,5.769,0.22181,0.67407,True,4,1.606,16.9248,0.5754,1,True,True,0.5,1.2432,False,2.8724,False,False
